group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,600000,,,1410833000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1403006300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1510347600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1388759200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1449738300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1564989200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1540292000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1521345100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1428513900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1507938900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1493382400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1511020900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1514016100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1524716800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1453359700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1419154900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1582297600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1384883500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1410447700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1441048000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1421501000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1406397600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1413528400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1471611500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1406011200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1404748500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1410342700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1618847000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1586299300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1407892200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1451658200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1414378700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1408149400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1440183900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1533541100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1492080900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1556929600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1459917600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1396310000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1414864700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1417826300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1522899000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1430127800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1443512900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1482283600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1500143100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1495162700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1504354200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1511228400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1453269800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1509355500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1494758000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1401317600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1394075000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1416606500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1540722400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1518803800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1438896000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1460576100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1535406000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1475132500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1553969300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1610536300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1534559700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1558344900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1572979500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1526312800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1528409400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1500979000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1452591000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1516771300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1520969700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1574664200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1435759500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1394388400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1469580700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1519456100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1543468900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1503154700.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1540720900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1481175000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1426384300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1555827500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1482180200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1477028100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1507027200.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1559320800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1481566300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1426982100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1481496900.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1452739600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1467535500.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1517747300.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1540253800.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1473930000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1526405600.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1559892000.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1511735400.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1466088100.0,ns,1
Radix Sort (Normal),Linked List,600000,,,1482865400.0,ns,1
