group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,1000000,,,2795861900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2773352100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2850608400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2738231200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2727490200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2793257100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2769062800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2775057400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2825194400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2785128100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2851688700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2700103500.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2727157700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2775713100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2791535000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2790888900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2777428600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2759418800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2549513700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2522960700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2720603700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2616410900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2475154000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2459604000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2544228900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2539698000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2635227500.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2598958700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2575249200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2579761000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2520377500.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2512558600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2500550300.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2484918900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2754197800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2596603200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2825989300.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2689698100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2656747700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2602868400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2663469000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2623648900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2679643100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2660248600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2517196900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2599888200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2559529800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2585793400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2553662600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2596794900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2608753100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2732069200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2668784000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2714733700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2590227000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2589644400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2688981400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2743065000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2789971800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2690310100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2760239000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2832342700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2701682000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2704199800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2767874500.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2628173900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2677962600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2511689300.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2693089000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2572751000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2628304000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2791633800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2784485100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2735945600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2603326700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2634977800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2668000900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2718602200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2755221200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2648102200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2685625000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2716951300.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2670233100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2704392300.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2582394700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2538420600.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2474538800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2635879900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2882788100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2515636100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2490434700.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2679913800.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2501072500.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2559310900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2508274400.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2521479100.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2586364200.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2809609000.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2457508900.0,ns,1
Radix Sort (Normal),Linked List,1000000,,,2512068000.0,ns,1
