group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,700000,,,1802383200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1800119600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1793495700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1794498100.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1754822800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1813489900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1794160200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1829516700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1795588200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1679739300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1682530200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1757960200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1660372100.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1697029800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1703948900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1708993200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1797203800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1826429800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1774766900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1794071600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1814496300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1730707500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1697630300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1758767400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1737667700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1697452500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1684322800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1706881600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1750291100.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1803800200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1803994600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1822123300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1744020500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1748995800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1697667700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1704567400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1746784900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1842854100.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1846687700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1740228600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1821278500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1737996200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1712413600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1725041700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1791094200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1805361700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1826764000.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1790932500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1725202900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1678359400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1704089400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1757282300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1666420900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1800906500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1824825800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1709772700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1706196200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1765658200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1760309300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1852067900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1820371900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1758861700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1676140800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1830596400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1739793800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1676782300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1721971700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1835194700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1764021400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1792758500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1809905600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1719495500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1781391700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1737779600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1795086700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1742743000.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1708003200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1682042400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1671569800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1691959100.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1668420200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1792498800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1739721900.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1781293700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1786834200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1829775500.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1744037000.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1837981300.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1775504400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1743849200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1734582800.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1776172700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1645686100.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1694609200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1696819600.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1667899700.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1689186200.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1840400000.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1844757400.0,ns,1
Radix Sort (Normal),Linked List,700000,,,1973065800.0,ns,1
