group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Vec,400000,,,61146400.0,ns,3
Radix Sort (Normal),Vec,400000,,,74225000.0,ns,3
Radix Sort (Normal),Vec,400000,,,70935200.0,ns,3
Radix Sort (Normal),Vec,400000,,,70650900.0,ns,3
Radix Sort (Normal),Vec,400000,,,59154500.0,ns,3
Radix Sort (Normal),Vec,400000,,,57860800.0,ns,3
Radix Sort (Normal),Vec,400000,,,70933800.0,ns,3
Radix Sort (Normal),Vec,400000,,,72501600.0,ns,3
Radix Sort (Normal),Vec,400000,,,72129500.0,ns,3
Radix Sort (Normal),Vec,400000,,,66222200.0,ns,3
Radix Sort (Normal),Vec,400000,,,57760800.0,ns,3
Radix Sort (Normal),Vec,400000,,,66429400.0,ns,3
Radix Sort (Normal),Vec,400000,,,72205100.0,ns,3
Radix Sort (Normal),Vec,400000,,,70787900.0,ns,3
Radix Sort (Normal),Vec,400000,,,69231700.0,ns,3
Radix Sort (Normal),Vec,400000,,,58739100.0,ns,3
Radix Sort (Normal),Vec,400000,,,66106800.0,ns,3
Radix Sort (Normal),Vec,400000,,,57136300.0,ns,3
Radix Sort (Normal),Vec,400000,,,57487700.0,ns,3
Radix Sort (Normal),Vec,400000,,,78951800.0,ns,3
Radix Sort (Normal),Vec,400000,,,70784700.0,ns,3
Radix Sort (Normal),Vec,400000,,,70317600.0,ns,3
Radix Sort (Normal),Vec,400000,,,69462000.0,ns,3
Radix Sort (Normal),Vec,400000,,,61880200.0,ns,3
Radix Sort (Normal),Vec,400000,,,67607500.0,ns,3
Radix Sort (Normal),Vec,400000,,,67098200.0,ns,3
Radix Sort (Normal),Vec,400000,,,75575200.0,ns,3
Radix Sort (Normal),Vec,400000,,,77241500.0,ns,3
Radix Sort (Normal),Vec,400000,,,73055300.0,ns,3
Radix Sort (Normal),Vec,400000,,,70960100.0,ns,3
Radix Sort (Normal),Vec,400000,,,73653900.0,ns,3
Radix Sort (Normal),Vec,400000,,,71152300.0,ns,3
Radix Sort (Normal),Vec,400000,,,77153300.0,ns,3
Radix Sort (Normal),Vec,400000,,,73418100.0,ns,3
Radix Sort (Normal),Vec,400000,,,68905500.0,ns,3
Radix Sort (Normal),Vec,400000,,,75711700.0,ns,3
Radix Sort (Normal),Vec,400000,,,64701800.0,ns,3
Radix Sort (Normal),Vec,400000,,,68521800.0,ns,3
Radix Sort (Normal),Vec,400000,,,72708300.0,ns,3
Radix Sort (Normal),Vec,400000,,,62432100.0,ns,3
Radix Sort (Normal),Vec,400000,,,60760400.0,ns,3
Radix Sort (Normal),Vec,400000,,,57636000.0,ns,3
Radix Sort (Normal),Vec,400000,,,56604300.0,ns,3
Radix Sort (Normal),Vec,400000,,,59016800.0,ns,3
Radix Sort (Normal),Vec,400000,,,57846200.0,ns,3
Radix Sort (Normal),Vec,400000,,,57624400.0,ns,3
Radix Sort (Normal),Vec,400000,,,60724600.0,ns,3
Radix Sort (Normal),Vec,400000,,,56314500.0,ns,3
Radix Sort (Normal),Vec,400000,,,62199600.0,ns,3
Radix Sort (Normal),Vec,400000,,,62214800.0,ns,3
Radix Sort (Normal),Vec,400000,,,59152700.0,ns,3
Radix Sort (Normal),Vec,400000,,,65052800.0,ns,3
Radix Sort (Normal),Vec,400000,,,60206200.0,ns,3
Radix Sort (Normal),Vec,400000,,,59703500.0,ns,3
Radix Sort (Normal),Vec,400000,,,61993000.0,ns,3
Radix Sort (Normal),Vec,400000,,,60892000.0,ns,3
Radix Sort (Normal),Vec,400000,,,63952100.0,ns,3
Radix Sort (Normal),Vec,400000,,,58855500.0,ns,3
Radix Sort (Normal),Vec,400000,,,59077500.0,ns,3
Radix Sort (Normal),Vec,400000,,,64464500.0,ns,3
Radix Sort (Normal),Vec,400000,,,59419900.0,ns,3
