group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,400000,,,951725400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,989671000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,941229300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,910731200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,916293000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,918874000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,972982900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,943321000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,930727700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,999526500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,954352500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1026570300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,957706100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,918587300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1022872300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1045057000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,941054200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,940306800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,889130300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,928799900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,908613400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,895295300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,940781500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,935847400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,908930100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,900805700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,890544700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,898693500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,942175900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,949770300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1022935400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,904877900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1094728900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1025656200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,909374200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,896605500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,900699800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,893219200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,932369100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1052237500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1011367300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,924456600.0,ns,1
Radix Sort (Normal),Linked List,400000,,,910153700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,903138700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,911879800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,938630500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,900544200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,888322300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,940203900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,899152700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,940074800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,945174600.0,ns,1
Radix Sort (Normal),Linked List,400000,,,969659500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,921567300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,914032200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,907903800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1002996600.0,ns,1
Radix Sort (Normal),Linked List,400000,,,946890600.0,ns,1
Radix Sort (Normal),Linked List,400000,,,830764500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,926764400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,923612000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,924268900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,911083800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,911730100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,986631000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,980867100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,904396900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,953059300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,908329900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,809197200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,900013000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,909112000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,905599700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,953498700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,911292100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,894965900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,889529000.0,ns,1
Radix Sort (Normal),Linked List,400000,,,899467200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,915142900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,831395900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,967061400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,988378400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1036142400.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1008094800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1027091700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1007025300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1178123800.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1042466200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,932509700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,1019835900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,924984100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,944117300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,932773900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,790830900.0,ns,1
Radix Sort (Normal),Linked List,400000,,,908842300.0,ns,1
Radix Sort (Normal),Linked List,400000,,,941176200.0,ns,1
Radix Sort (Normal),Linked List,400000,,,900346500.0,ns,1
Radix Sort (Normal),Linked List,400000,,,909875100.0,ns,1
Radix Sort (Normal),Linked List,400000,,,896378700.0,ns,1
Radix Sort (Normal),Linked List,400000,,,906289100.0,ns,1
