group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,300000,,,618459400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,646804900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,666531800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,656874300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,631836900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,630762800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,675650200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,616623100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,625127400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,662347200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,622087600.0,ns,1
Radix Sort (Normal),Linked List,300000,,,627166600.0,ns,1
Radix Sort (Normal),Linked List,300000,,,623704100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,619583700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,667130300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,627137500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,611682600.0,ns,1
Radix Sort (Normal),Linked List,300000,,,613461400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,615858400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,614189000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,616726000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,615485700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,653092100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,621997900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,615521200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,616302700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,633908000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,627713900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,633846900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,619220000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,651523400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,644394400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,609809900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,616643400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,622813400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,613574100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,623599600.0,ns,1
Radix Sort (Normal),Linked List,300000,,,616600900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,620173800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,673668300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,620067300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,615413800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,614015100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,744598300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,747057900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,785147300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,745614900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,777660400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,721815700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,778773500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,728818200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,755203400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,738984900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,680670500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,709728700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,665264500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,696526300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,674226000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,692307600.0,ns,1
Radix Sort (Normal),Linked List,300000,,,677296500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,618883400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,665657000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,628601200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,625623700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,694130500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,751087800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,698040400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,695192300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,672444400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,674000000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,638747800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,632959400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,644025100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,640133900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,705788500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,711419800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,709846100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,662496500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,630160700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,652622200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,743676700.0,ns,1
Radix Sort (Normal),Linked List,300000,,,678069300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,712955400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,639265400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,678424400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,625776300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,682393600.0,ns,1
Radix Sort (Normal),Linked List,300000,,,697551200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,617242400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,567870000.0,ns,1
Radix Sort (Normal),Linked List,300000,,,615460800.0,ns,1
Radix Sort (Normal),Linked List,300000,,,623472900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,711636100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,668403400.0,ns,1
Radix Sort (Normal),Linked List,300000,,,617132900.0,ns,1
Radix Sort (Normal),Linked List,300000,,,628333100.0,ns,1
Radix Sort (Normal),Linked List,300000,,,678808200.0,ns,1
Radix Sort (Normal),Linked List,300000,,,653889500.0,ns,1
Radix Sort (Normal),Linked List,300000,,,624687300.0,ns,1
Radix Sort (Normal),Linked List,300000,,,628157500.0,ns,1
