group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,900000,,,2242795200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2197993400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2221005200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2412179500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2914845800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2334480100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2341725100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2545584400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2369968000.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2134270800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2220177300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2214548700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2324158000.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2349548100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2464225600.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2396126800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2421263400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2294887900.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2609087300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2456781200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2506061200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2478680100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2522839700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2488937100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2273226900.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2354785000.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2659581600.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2481166300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2336891700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2220027400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2355186700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2248478300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2037263400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2406301700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2378626300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2302374500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2081929400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2323393200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2883723400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2333358100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2236064300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2295328100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2848079600.0,ns,1
Radix Sort (Normal),Linked List,900000,,,3131200400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2349029900.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2200910800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2319614500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2342125500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2297872100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2233769700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2314660300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2341972800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2598425600.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2578697300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2411961800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2229112400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2328655400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2312627200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2437656500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2440670800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2298728900.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2505446300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2498190600.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2340650400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2306018200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2265490600.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2273257900.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2259222300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2344551200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2586913700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2602985800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2640740700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2494204800.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2272989200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2320237000.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2283922300.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2316184100.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2331245200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2389427900.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2362551500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2211971500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,1967796700.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2248568400.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2268774200.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2402617500.0,ns,1
Radix Sort (Normal),Linked List,900000,,,2473167100.0,ns,1
