group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Cache Defeated),Linked List,4000000,,,6479851200.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6611693100.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6736852300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6840823000.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6745859300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6962894800.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7003606900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6893308600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7813020600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6996840400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7321369000.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7311131500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7445094600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7363626900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7585258500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6983280400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7218959300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7194612800.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7459714900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6605335500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7096757900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6937189500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7029056300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7716729700.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7056242800.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7402410100.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6947275500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6801613200.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7084759300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6904154400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6900430500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6970657400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6761845900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6998652500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6942946200.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6637805600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7141941200.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7212022500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7918091500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7094214600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6905155700.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6800882700.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6758782400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6895684300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6883273700.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6788146100.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6752381800.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6785963400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6464655900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6640329800.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6614660700.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6629558500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6743093700.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6965674500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6963107600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6762575500.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6985342100.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6994293600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6836534400.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7210509200.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7137018100.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7070065000.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6947587100.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7090106300.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6838603900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7029008000.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,7022095000.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6812528600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6518912900.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6485531600.0,ns,1
Radix Sort (Cache Defeated),Linked List,4000000,,,6445139800.0,ns,1
