group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,500000,,,1328669500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1166776900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1171474500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1137361600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1175418900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1201821200.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1152351800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1254167100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1120857700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1221059800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1163027600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1160018300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1278764000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1279552800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1179438400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1153983900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1157517500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1159973500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1042007000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1170747100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1020607100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1176495900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1291006000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1239573300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1207515300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1280060900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1264997000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1177399100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1192834200.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1228842500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1262963600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1252078900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1154308500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1165667400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1153134400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1255647300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1262116900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1172475000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1160085000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1281924600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1217408100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1165348700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1218379700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1246005700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1233513000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1169018800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1160650700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1230899000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1294633600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1211150500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1239962600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1228573700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1296067400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1218590500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1157363200.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1215810800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1268109600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1285360300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1200731800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1160160000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1150962600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1186385100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1257726400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1193031000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1141193600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1210993900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1165924500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1161517200.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1141282300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1174665100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1178540600.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1161801900.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1055646800.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1155501700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1226412100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1171834300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1144570500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1146741700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1208921300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1167202400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1145797400.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1139340500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1150629200.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1211859000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1159459000.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1149654300.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1142047500.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1217965700.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1164137100.0,ns,1
Radix Sort (Normal),Linked List,500000,,,1153697600.0,ns,1
