group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,10000,,,45565200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,49590300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48328500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45256800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46970800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,58832600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48195300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47832100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46570600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45770500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45922900.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48157200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46183700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48595300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45795800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47212400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46575400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46238300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45345500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46433200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45870000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44936000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,49303200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47596700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45409200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47680000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45780500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45556100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48266300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46953800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47315200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45244500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44957100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46191700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45060700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46833600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44747500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47635300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46391700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46373100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48690600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46645600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44801800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45749300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46096200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45869200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45360100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46058100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45269100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45251800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45128100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44973100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45348700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46068200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44838600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46811600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48724000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,51793800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,59340000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,54934900.0,ns,4
Radix Sort (Normal),Linked List,10000,,,61719200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,56762300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,61973600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,65155500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,53664600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,63692400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,66951400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,50487200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,50063200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,54755400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48643600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46620000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46759000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47316700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45094900.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46284900.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45597100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46741100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47113200.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47269500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46428300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,44704900.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46662400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47472000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47405700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47785600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46053500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45946300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45557500.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46480700.0,ns,4
Radix Sort (Normal),Linked List,10000,,,48434800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45951100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45319100.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45582300.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45016000.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47264800.0,ns,4
Radix Sort (Normal),Linked List,10000,,,47943600.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46513400.0,ns,4
Radix Sort (Normal),Linked List,10000,,,45284900.0,ns,4
Radix Sort (Normal),Linked List,10000,,,46961700.0,ns,4
