group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Vec,1000000,,,73064500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67095500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62647000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,73200800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,76151500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,80047900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66869800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,73638900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,70044800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,71349300.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65493700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,70206100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64802800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67443200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,70187500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,74764600.0,ns,1
Radix Sort (Normal),Vec,1000000,,,75214800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,79118100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67736800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,68044800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64030900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66382700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62931900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67878900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66526400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,70274200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62760400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67187900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66894800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,73332400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65680500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,69270000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64709000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,69730400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,61038400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67730300.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62829400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64896700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63637700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66615200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,71493300.0,ns,1
Radix Sort (Normal),Vec,1000000,,,75000700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65968400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,71266200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63468600.0,ns,1
Radix Sort (Normal),Vec,1000000,,,74295100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,74268700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,71619400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64660100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63524900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67101000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65166900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64496800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64177000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,61834200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,72099800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65232400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66884700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62696500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,80674400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,76042100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,69169700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65056200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,68261700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64126900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65323000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,65183400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67465600.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62992000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67861900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67615300.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67404200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63418100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64667400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62297200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67807600.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67358100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63694500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,62087600.0,ns,1
Radix Sort (Normal),Vec,1000000,,,69934100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66702800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66009700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64228200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,70283900.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63763400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,68705400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,81933800.0,ns,1
Radix Sort (Normal),Vec,1000000,,,97390400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,73895000.0,ns,1
Radix Sort (Normal),Vec,1000000,,,71650200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,67259200.0,ns,1
Radix Sort (Normal),Vec,1000000,,,84068300.0,ns,1
Radix Sort (Normal),Vec,1000000,,,77005500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,75977100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,68936700.0,ns,1
Radix Sort (Normal),Vec,1000000,,,79301400.0,ns,1
Radix Sort (Normal),Vec,1000000,,,63900500.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64983100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,64266100.0,ns,1
Radix Sort (Normal),Vec,1000000,,,66046700.0,ns,1
