group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Vec,10000,,,1031500.0,ns,3
Radix Sort (Normal),Vec,10000,,,2047600.0,ns,6
Radix Sort (Normal),Vec,10000,,,3092800.0,ns,9
Radix Sort (Normal),Vec,10000,,,4044700.0,ns,12
Radix Sort (Normal),Vec,10000,,,5045700.0,ns,15
Radix Sort (Normal),Vec,10000,,,6023900.0,ns,18
Radix Sort (Normal),Vec,10000,,,7387300.0,ns,21
Radix Sort (Normal),Vec,10000,,,8057700.0,ns,24
Radix Sort (Normal),Vec,10000,,,9289900.0,ns,27
Radix Sort (Normal),Vec,10000,,,10059000.0,ns,30
Radix Sort (Normal),Vec,10000,,,11295400.0,ns,33
Radix Sort (Normal),Vec,10000,,,12323300.0,ns,36
Radix Sort (Normal),Vec,10000,,,13841100.0,ns,39
Radix Sort (Normal),Vec,10000,,,16617300.0,ns,42
Radix Sort (Normal),Vec,10000,,,16065000.0,ns,45
Radix Sort (Normal),Vec,10000,,,16751400.0,ns,48
Radix Sort (Normal),Vec,10000,,,17433300.0,ns,51
Radix Sort (Normal),Vec,10000,,,19227400.0,ns,54
Radix Sort (Normal),Vec,10000,,,20376800.0,ns,57
Radix Sort (Normal),Vec,10000,,,20243700.0,ns,60
Radix Sort (Normal),Vec,10000,,,22871800.0,ns,63
Radix Sort (Normal),Vec,10000,,,23013500.0,ns,66
Radix Sort (Normal),Vec,10000,,,23200800.0,ns,69
Radix Sort (Normal),Vec,10000,,,24403000.0,ns,72
Radix Sort (Normal),Vec,10000,,,25868800.0,ns,75
Radix Sort (Normal),Vec,10000,,,27643300.0,ns,78
Radix Sort (Normal),Vec,10000,,,28238100.0,ns,81
Radix Sort (Normal),Vec,10000,,,28483400.0,ns,84
Radix Sort (Normal),Vec,10000,,,29811800.0,ns,87
Radix Sort (Normal),Vec,10000,,,30365400.0,ns,90
Radix Sort (Normal),Vec,10000,,,31772200.0,ns,93
Radix Sort (Normal),Vec,10000,,,33049800.0,ns,96
Radix Sort (Normal),Vec,10000,,,35060000.0,ns,99
Radix Sort (Normal),Vec,10000,,,35440500.0,ns,102
Radix Sort (Normal),Vec,10000,,,36855900.0,ns,105
Radix Sort (Normal),Vec,10000,,,39150900.0,ns,108
Radix Sort (Normal),Vec,10000,,,40412300.0,ns,111
Radix Sort (Normal),Vec,10000,,,39979600.0,ns,114
Radix Sort (Normal),Vec,10000,,,41763700.0,ns,117
Radix Sort (Normal),Vec,10000,,,43614500.0,ns,120
Radix Sort (Normal),Vec,10000,,,44114800.0,ns,123
Radix Sort (Normal),Vec,10000,,,44566500.0,ns,126
Radix Sort (Normal),Vec,10000,,,47085100.0,ns,129
Radix Sort (Normal),Vec,10000,,,46853200.0,ns,132
Radix Sort (Normal),Vec,10000,,,48699800.0,ns,135
Radix Sort (Normal),Vec,10000,,,48784000.0,ns,138
Radix Sort (Normal),Vec,10000,,,49030000.0,ns,141
Radix Sort (Normal),Vec,10000,,,52943600.0,ns,144
Radix Sort (Normal),Vec,10000,,,52695500.0,ns,147
Radix Sort (Normal),Vec,10000,,,54197200.0,ns,150
Radix Sort (Normal),Vec,10000,,,57313800.0,ns,153
Radix Sort (Normal),Vec,10000,,,58886100.0,ns,156
Radix Sort (Normal),Vec,10000,,,59197100.0,ns,159
Radix Sort (Normal),Vec,10000,,,58517700.0,ns,162
Radix Sort (Normal),Vec,10000,,,60664500.0,ns,165
Radix Sort (Normal),Vec,10000,,,70779000.0,ns,168
Radix Sort (Normal),Vec,10000,,,68482600.0,ns,171
Radix Sort (Normal),Vec,10000,,,61986100.0,ns,174
Radix Sort (Normal),Vec,10000,,,63339800.0,ns,177
Radix Sort (Normal),Vec,10000,,,65514200.0,ns,180
Radix Sort (Normal),Vec,10000,,,64657600.0,ns,183
Radix Sort (Normal),Vec,10000,,,66045300.0,ns,186
Radix Sort (Normal),Vec,10000,,,66937500.0,ns,189
Radix Sort (Normal),Vec,10000,,,65667100.0,ns,192
Radix Sort (Normal),Vec,10000,,,69423200.0,ns,195
Radix Sort (Normal),Vec,10000,,,68043900.0,ns,198
Radix Sort (Normal),Vec,10000,,,70452500.0,ns,201
Radix Sort (Normal),Vec,10000,,,69048000.0,ns,204
Radix Sort (Normal),Vec,10000,,,70511000.0,ns,207
Radix Sort (Normal),Vec,10000,,,75170400.0,ns,210
Radix Sort (Normal),Vec,10000,,,73427300.0,ns,213
Radix Sort (Normal),Vec,10000,,,72768500.0,ns,216
Radix Sort (Normal),Vec,10000,,,74923700.0,ns,219
Radix Sort (Normal),Vec,10000,,,78902100.0,ns,222
Radix Sort (Normal),Vec,10000,,,77311000.0,ns,225
Radix Sort (Normal),Vec,10000,,,77329600.0,ns,228
Radix Sort (Normal),Vec,10000,,,78708800.0,ns,231
Radix Sort (Normal),Vec,10000,,,81283600.0,ns,234
Radix Sort (Normal),Vec,10000,,,87642100.0,ns,237
Radix Sort (Normal),Vec,10000,,,85054100.0,ns,240
Radix Sort (Normal),Vec,10000,,,89827400.0,ns,243
Radix Sort (Normal),Vec,10000,,,94500700.0,ns,246
Radix Sort (Normal),Vec,10000,,,85586000.0,ns,249
Radix Sort (Normal),Vec,10000,,,91737800.0,ns,252
Radix Sort (Normal),Vec,10000,,,95727600.0,ns,255
Radix Sort (Normal),Vec,10000,,,97295200.0,ns,258
Radix Sort (Normal),Vec,10000,,,92304200.0,ns,261
Radix Sort (Normal),Vec,10000,,,91237400.0,ns,264
Radix Sort (Normal),Vec,10000,,,93005900.0,ns,267
Radix Sort (Normal),Vec,10000,,,110271700.0,ns,270
Radix Sort (Normal),Vec,10000,,,109159300.0,ns,273
Radix Sort (Normal),Vec,10000,,,96657400.0,ns,276
Radix Sort (Normal),Vec,10000,,,95246800.0,ns,279
Radix Sort (Normal),Vec,10000,,,97121800.0,ns,282
Radix Sort (Normal),Vec,10000,,,102630900.0,ns,285
Radix Sort (Normal),Vec,10000,,,105314200.0,ns,288
Radix Sort (Normal),Vec,10000,,,101379000.0,ns,291
Radix Sort (Normal),Vec,10000,,,99223400.0,ns,294
Radix Sort (Normal),Vec,10000,,,104194900.0,ns,297
Radix Sort (Normal),Vec,10000,,,111437100.0,ns,300
